Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size 
1726158425,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158426,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158427,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158428,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158429,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158430,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158431,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158432,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158433,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158434,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158435,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158436,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158437,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158438,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158439,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158440,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158441,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158442,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158444,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158445,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158446,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
